id,document_id,depth,dist_from_leaf,parent_id,sort_order,identifier,kind,title,time_units,notes,extra_fields
37,1,5,0,34,3.0,CCSS.Math.Content.K.G.A.3,unit,"Identify shapes as two-dimensional (lying in a plane, ""flat"") or three-dimensional (""solid"").",,,{}
38,1,4,1,33,2.0,CCSS.Math.Content.K.G.B,topic,"Analyze, compare, create, and compose shapes.",,,{}
39,1,5,0,38,1.0,CCSS.Math.Content.K.G.B.4,unit,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/""corners"") and other attributes (e.g., having sides of equal length).",,,{}
40,1,5,0,38,2.0,CCSS.Math.Content.K.G.B.5,unit,"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.",,,{}
41,1,5,0,38,3.0,CCSS.Math.Content.K.G.B.6,unit,Compose simple shapes to form larger shapes.,,,{}
42,1,2,4,1,2.0,CCSSM.1,level,Grade 1,,,{}
43,1,3,2,42,1.0,CCSS.Math.Content.1.OA,topic,Operations and Algebraic Thinking,,,{}
44,1,4,1,43,1.0,CCSS.Math.Content.1.OA.A,topic,Represent and solve problems involving addition and subtraction.,,,{}
45,1,5,0,44,1.0,CCSS.Math.Content.1.OA.A.1,unit,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",,,{}
46,1,5,0,44,2.0,CCSS.Math.Content.1.OA.A.2,unit,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",,,{}
47,1,4,1,43,2.0,CCSS.Math.Content.1.OA.B,topic,Understand and apply properties of operations and the relationship between addition and subtraction.,,,{}
48,1,5,0,47,1.0,CCSS.Math.Content.1.OA.B.3,unit,Apply properties of operations as strategies to add and subtract.,,,{}
49,1,5,0,47,2.0,CCSS.Math.Content.1.OA.B.4,unit,Understand subtraction as an unknown-addend problem.,,,{}
50,1,4,1,43,3.0,CCSS.Math.Content.1.OA.C,topic,Add and subtract within 20.,,,{}
51,1,5,0,50,1.0,CCSS.Math.Content.1.OA.C.5,unit,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",,,{}
52,1,5,0,50,2.0,CCSS.Math.Content.1.OA.C.6,unit,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 - 4 = 13 - 3 - 1 = 10 - 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 - 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).",,,{}
53,1,4,1,43,4.0,CCSS.Math.Content.1.OA.D,topic,Work with addition and subtraction equations.,,,{}
54,1,5,0,53,1.0,CCSS.Math.Content.1.OA.D.7,unit,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false.",,,{}
55,1,5,0,53,2.0,CCSS.Math.Content.1.OA.D.8,unit,Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.,,,{}
56,1,3,3,42,2.0,CCSS.Math.Content.1.NBT,topic,Number and Operations in Base Ten,,,{}
57,1,4,1,56,1.0,CCSS.Math.Content.1.NBT.A,topic,Extend the counting sequence.,,,{}
58,1,5,0,57,1.0,CCSS.Math.Content.1.NBT.A.1,unit,"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.",,,{}
59,1,4,2,56,2.0,CCSS.Math.Content.1.NBT.B,topic,Understand place value.,,,{}
60,1,5,1,59,1.0,CCSS.Math.Content.1.NBT.B.2,unit,Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:,,,{}
61,1,6,0,60,1.0,CCSS.Math.Content.1.NBT.B.2a,learning_objective,"10 can be thought of as a bundle of ten ones — called a ""ten.""",,,{}
62,1,6,0,60,2.0,CCSS.Math.Content.1.NBT.B.2b,learning_objective,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.",,,{}
63,1,6,0,60,3.0,CCSS.Math.Content.1.NBT.B.2c,learning_objective,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).",,,{}
64,1,5,0,59,2.0,CCSS.Math.Content.1.NBT.B.3,unit,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols >, =, and <.",,,{}
65,1,4,1,56,3.0,CCSS.Math.Content.1.NBT.C,topic,Use place value understanding and properties of operations to add and subtract.,,,{}
66,1,5,0,65,1.0,CCSS.Math.Content.1.NBT.C.4,unit,"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.",,,{}
67,1,5,0,65,2.0,CCSS.Math.Content.1.NBT.C.5,unit,"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.",,,{}
68,1,5,0,65,3.0,CCSS.Math.Content.1.NBT.C.6,unit,"Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",,,{}
69,1,3,2,42,3.0,CCSS.Math.Content.1.MD,topic,Measurement and Data,,,{}
70,1,4,1,69,1.0,CCSS.Math.Content.1.MD.A,topic,Measure lengths indirectly and by iterating length units.,,,{}
71,1,5,0,70,1.0,CCSS.Math.Content.1.MD.A.1,unit,Order three objects by length; compare the lengths of two objects indirectly by using a third object.,,,{}
72,1,5,0,70,2.0,CCSS.Math.Content.1.MD.A.2,unit,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.",,,{}
73,1,4,1,69,2.0,CCSS.Math.Content.1.MD.B,topic,Tell and write time.,,,{}
74,1,5,0,73,1.0,CCSS.Math.Content.1.MD.B.3,unit,Tell and write time in hours and half-hours using analog and digital clocks.,,,{}
75,1,4,1,69,3.0,CCSS.Math.Content.1.MD.C,topic,Represent and interpret data.,,,{}
76,1,5,0,75,1.0,CCSS.Math.Content.1.MD.C.4,unit,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.",,,{}
77,1,3,2,42,4.0,CCSS.Math.Content.1.G,topic,Geometry,,,{}
78,1,4,1,77,1.0,CCSS.Math.Content.1.G.A,topic,Reason with shapes and their attributes.,,,{}
79,1,5,0,78,1.0,CCSS.Math.Content.1.G.A.1,unit,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.",,,{}
80,1,5,0,78,2.0,CCSS.Math.Content.1.G.A.2,unit,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.",,,{}
81,1,5,0,78,3.0,CCSS.Math.Content.1.G.A.3,unit,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",,,{}
82,1,2,4,1,3.0,CCSSM.2,level,Grade 2,,,{}
83,1,3,2,82,1.0,CCSS.Math.Content.2.OA,topic,Operations and Algebraic Thinking,,,{}
84,1,4,1,83,1.0,CCSS.Math.Content.2.OA.A,topic,Represent and solve problems involving addition and subtraction.,,,{}
85,1,5,0,84,1.0,CCSS.Math.Content.2.OA.A.1,unit,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",,,{}
86,1,4,1,83,2.0,CCSS.Math.Content.2.OA.B,topic,Add and subtract within 20.,,,{}
87,1,5,0,86,1.0,CCSS.Math.Content.2.OA.B.2,unit,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers.",,,{}
88,1,4,1,83,3.0,CCSS.Math.Content.2.OA.C,topic,Work with equal groups of objects to gain foundations for multiplication.,,,{}
89,1,5,0,88,1.0,CCSS.Math.Content.2.OA.C.3,unit,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.",,,{}
90,1,5,0,88,2.0,CCSS.Math.Content.2.OA.C.4,unit,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,,,{}
91,1,3,3,82,2.0,CCSS.Math.Content.2.NBT,topic,Number and Operations in Base Ten,,,{}
92,1,4,2,91,1.0,CCSS.Math.Content.2.NBT.A,topic,Understand place value.,,,{}
93,1,5,1,92,1.0,CCSS.Math.Content.2.NBT.A.1,unit,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:",,,{}
94,1,6,0,93,1.0,CCSS.Math.Content.2.NBT.A.1a,learning_objective,"100 can be thought of as a bundle of ten tens — called a ""hundred.""",,,{}
95,1,6,0,93,2.0,CCSS.Math.Content.2.NBT.A.1b,learning_objective,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",,,{}
96,1,5,0,92,2.0,CCSS.Math.Content.2.NBT.A.2,unit,"Count within 1000; skip-count by 5s, 10s, and 100s.",,,{}
97,1,5,0,92,3.0,CCSS.Math.Content.2.NBT.A.3,unit,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.",,,{}
98,1,5,0,92,4.0,CCSS.Math.Content.2.NBT.A.4,unit,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons.",,,{}
99,1,4,1,91,2.0,CCSS.Math.Content.2.NBT.B,topic,Use place value understanding and properties of operations to add and subtract.,,,{}
100,1,5,0,99,1.0,CCSS.Math.Content.2.NBT.B.5,unit,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.",,,{}
101,1,5,0,99,2.0,CCSS.Math.Content.2.NBT.B.6,unit,Add up to four two-digit numbers using strategies based on place value and properties of operations.,,,{}
102,1,5,0,99,3.0,CCSS.Math.Content.2.NBT.B.7,unit,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.",,,{}
103,1,5,0,99,4.0,CCSS.Math.Content.2.NBT.B.8,unit,"Mentally add 10 or 100 to a given number 100—900, and mentally subtract 10 or 100 from a given number 100—900.",,,{}
104,1,5,0,99,5.0,CCSS.Math.Content.2.NBT.B.9,unit,"Explain why addition and subtraction strategies work, using place value and the properties of operations.",,,{}
105,1,3,2,82,3.0,CCSS.Math.Content.2.MD,topic,Measurement and Data,,,{}
106,1,4,1,105,1.0,CCSS.Math.Content.2.MD.A,topic,Measure and estimate lengths in standard units.,,,{}
107,1,5,0,106,1.0,CCSS.Math.Content.2.MD.A.1,unit,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",,,{}
108,1,5,0,106,2.0,CCSS.Math.Content.2.MD.A.2,unit,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.",,,{}
109,1,5,0,106,3.0,CCSS.Math.Content.2.MD.A.3,unit,"Estimate lengths using units of inches, feet, centimeters, and meters.",,,{}
110,1,5,0,106,4.0,CCSS.Math.Content.2.MD.A.4,unit,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.",,,{}
111,1,4,1,105,2.0,CCSS.Math.Content.2.MD.B,topic,Relate addition and subtraction to length.,,,{}
112,1,5,0,111,1.0,CCSS.Math.Content.2.MD.B.5,unit,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem.",,,{}
113,1,5,0,111,2.0,CCSS.Math.Content.2.MD.B.6,unit,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, …, and represent whole-number sums and differences within 100 on a number line diagram.",,,{}
114,1,4,1,105,3.0,CCSS.Math.Content.2.MD.C,topic,Work with time and money.,,,{}
115,1,5,0,114,1.0,CCSS.Math.Content.2.MD.C.7,unit,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m.",,,{}
116,1,5,0,114,2.0,CCSS.Math.Content.2.MD.C.8,unit,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately.",,,{}
117,1,4,1,105,4.0,CCSS.Math.Content.2.MD.D,topic,Represent and interpret data.,,,{}
118,1,5,0,117,1.0,CCSS.Math.Content.2.MD.D.9,unit,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.",,,{}
119,1,5,0,117,2.0,CCSS.Math.Content.2.MD.D.10,unit,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph.",,,{}
120,1,3,2,82,4.0,CCSS.Math.Content.2.G,topic,Geometry,,,{}
121,1,4,1,120,1.0,CCSS.Math.Content.2.G.A,topic,Reason with shapes and their attributes.,,,{}
122,1,5,0,121,1.0,CCSS.Math.Content.2.G.A.1,unit,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces. Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.",,,{}
123,1,5,0,121,2.0,CCSS.Math.Content.2.G.A.2,unit,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,,,{}
124,1,5,0,121,3.0,CCSS.Math.Content.2.G.A.3,unit,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",,,{}
125,1,2,4,1,4.0,CCSSM.3,level,Grade 3,,,{}
126,1,3,2,125,1.0,CCSS.Math.Content.3.OA,topic,Operations and Algebraic Thinking,,,{}
127,1,4,1,126,1.0,CCSS.Math.Content.3.OA.A,topic,Represent and solve problems involving multiplication and division.,,,{}
128,1,5,0,127,1.0,CCSS.Math.Content.3.OA.A.1,unit,"Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each.",,,{}
129,1,5,0,127,2.0,CCSS.Math.Content.3.OA.A.2,unit,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each.",,,{}
130,1,5,0,127,3.0,CCSS.Math.Content.3.OA.A.3,unit,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",,,{}
131,1,5,0,127,4.0,CCSS.Math.Content.3.OA.A.4,unit,Determine the unknown whole number in a multiplication or division equation relating three whole numbers.,,,{}
132,1,4,1,126,2.0,CCSS.Math.Content.3.OA.B,topic,Understand properties of multiplication and the relationship between multiplication and division.,,,{}
133,1,5,0,132,1.0,CCSS.Math.Content.3.OA.B.5,unit,Apply properties of operations as strategies to multiply and divide.,,,{}
134,1,5,0,132,2.0,CCSS.Math.Content.3.OA.B.6,unit,Understand division as an unknown-factor problem.,,,{}
135,1,4,1,126,3.0,CCSS.Math.Content.3.OA.C,topic,Multiply and divide within 100.,,,{}
136,1,5,0,135,1.0,CCSS.Math.Content.3.OA.C.7,unit,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",,,{}
137,1,4,1,126,4.0,CCSS.Math.Content.3.OA.D,topic,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",,,{}
138,1,5,0,137,1.0,CCSS.Math.Content.3.OA.D.8,unit,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.,,,{}
139,1,5,0,137,2.0,CCSS.Math.Content.3.OA.D.9,unit,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations.",,,{}
140,1,3,2,125,2.0,CCSS.Math.Content.3.NBT,topic,Number and Operations in Base Ten,,,{}
141,1,4,1,140,1.0,CCSS.Math.Content.3.NBT.A,topic,Use place value understanding and properties of operations to perform multi-digit arithmetic.,,,{}
142,1,5,0,141,1.0,CCSS.Math.Content.3.NBT.A.1,unit,Use place value understanding to round whole numbers to the nearest 10 or 100.,,,{}
143,1,5,0,141,2.0,CCSS.Math.Content.3.NBT.A.2,unit,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",,,{}
144,1,5,0,141,3.0,CCSS.Math.Content.3.NBT.A.3,unit,"Multiply one-digit whole numbers by multiples of 10 in the range 10—90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations.",,,{}
145,1,3,3,125,3.0,CCSS.Math.Content.3.MD,topic,Measurement and Data,,,{}
146,1,4,1,145,1.0,CCSS.Math.Content.3.MD.A,topic,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.",,,{}
147,1,5,0,146,1.0,CCSS.Math.Content.3.MD.A.1,unit,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.",,,{}
148,1,5,0,146,2.0,CCSS.Math.Content.3.MD.A.2,unit,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l). Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.",,,{}
149,1,4,1,145,2.0,CCSS.Math.Content.3.MD.B,topic,Represent and interpret data.,,,{}
150,1,5,0,149,1.0,CCSS.Math.Content.3.MD.B.3,unit,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ""how many more"" and ""how many less"" problems using information presented in scaled bar graphs.",,,{}
151,1,5,0,149,2.0,CCSS.Math.Content.3.MD.B.4,unit,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units— whole numbers, halves, or quarters.",,,{}
152,1,4,2,145,3.0,CCSS.Math.Content.3.MD.C,topic,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,,,{}
153,1,5,1,152,1.0,CCSS.Math.Content.3.MD.C.5,unit,Recognize area as an attribute of plane figures and understand concepts of area measurement.,,,{}
154,1,6,0,153,1.0,CCSS.Math.Content.3.MD.C.5a,learning_objective,"A square with side length 1 unit, called ""a unit square,"" is said to have ""one square unit"" of area, and can be used to measure area.",,,{}
155,1,6,0,153,2.0,CCSS.Math.Content.3.MD.C.5b,learning_objective,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.,,,{}
156,1,5,0,152,2.0,CCSS.Math.Content.3.MD.C.6,unit,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units).",,,{}
157,1,5,1,152,3.0,CCSS.Math.Content.3.MD.C.7,unit,Relate area to the operations of multiplication and addition.,,,{}
158,1,6,0,157,1.0,CCSS.Math.Content.3.MD.C.7a,learning_objective,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths.",,,{}
159,1,6,0,157,2.0,CCSS.Math.Content.3.MD.C.7b,learning_objective,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning.",,,{}
160,1,6,0,157,3.0,CCSS.Math.Content.3.MD.C.7c,learning_objective,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning.,,,{}
161,1,6,0,157,4.0,CCSS.Math.Content.3.MD.C.7d,learning_objective,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.",,,{}
162,1,4,1,145,4.0,CCSS.Math.Content.3.MD.D,topic,Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.,,,{}
163,1,5,0,162,1.0,CCSS.Math.Content.3.MD.D.8,unit,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters.",,,{}
164,1,3,2,125,4.0,CCSS.Math.Content.3.G,topic,Geometry,,,{}
165,1,4,1,164,1.0,CCSS.Math.Content.3.G.A,topic,Reason with shapes and their attributes.,,,{}
166,1,5,0,165,1.0,CCSS.Math.Content.3.G.A.1,unit,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.",,,{}
167,1,5,0,165,2.0,CCSS.Math.Content.3.G.A.2,unit,Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole.,,,{}
168,1,3,3,125,5.0,CCSS.Math.Content.3.NF,topic,Number and Operations—Fractions,,,{}
169,1,4,2,168,1.0,CCSS.Math.Content.3.NF.A,topic,Develop understanding of fractions as numbers.,,,{}
